"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Conservative Party of Canada	Parti conservateur du Canada	Hodder	Steve			25-Aug-21	4:30:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Liberal Party of Canada	Parti libéral du Canada	O'Regan	Seamus			26-Aug-21	11:30:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	People's Party of Canada	Parti populaire du Canada	Stewart	Georgia Faith		(819) 205-2648	30-Aug-21	11:00:00
11001	Cardigan	Cardigan	People's Party of Canada	Parti populaire du Canada	Hardy	Kevin			23-Aug-21	11:00:00
11001	Cardigan	Cardigan	Liberal Party of Canada	Parti libéral du Canada	MacAulay	Lawrence		1 888 278-9589	24-Aug-21	4:00:00
11001	Cardigan	Cardigan	Green Party of Canada	Le Parti Vert du Canada	MacLean	Michael		(902) 330-1787	22-Aug-21	5:00:00
11001	Cardigan	Cardigan	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	MacLeod	Fred		(902) 969-9206	26-Aug-21	2:30:00
11001	Cardigan	Cardigan	Conservative Party of Canada	Parti conservateur du Canada	Phelan	Wayne		(902) 361-1100	21-Aug-21	9:00:00
11001	Cardigan	Cardigan	New Democratic Party	Nouveau Parti démocratique	Thiele	Lynne		(902) 626-6075	22-Aug-21	1:30:00
11002	Charlottetown	Charlottetown	New Democratic Party	Nouveau Parti démocratique	Andrade	Margaret		(902) 367-9228	25-Aug-21	8:00:00
11002	Charlottetown	Charlottetown	Liberal Party of Canada	Parti libéral du Canada	Casey	Sean		(902) 314-9177	28-Aug-21	5:00:00
11002	Charlottetown	Charlottetown	Conservative Party of Canada	Parti conservateur du Canada	Currie	Doug		(902) 388-2040	26-Aug-21	4:00:00
11002	Charlottetown	Charlottetown	Green Party of Canada	Le Parti Vert du Canada	Lanthier	Darcie		(902) 894-9680	30-Aug-21	6:30:00
11002	Charlottetown	Charlottetown	People's Party of Canada	Parti populaire du Canada	McPhee	Scott			30-Aug-21	7:30:00
11003	Egmont	Egmont	Conservative Party of Canada	Parti conservateur du Canada	Balsom	Barry			20-Aug-21	7:30:00
11003	Egmont	Egmont	People's Party of Canada	Parti populaire du Canada	Biggar	Wayne			30-Aug-21	3:30:00
11003	Egmont	Egmont	New Democratic Party	Nouveau Parti démocratique	Bradshaw	Lisa			25-Aug-21	7:30:00
11003	Egmont	Egmont	Green Party of Canada	Le Parti Vert du Canada	Clark	Alex			23-Aug-21	8:30:00
11003	Egmont	Egmont	Liberal Party of Canada	Parti libéral du Canada	Morrissey	Bobby		(902) 888-5966	26-Aug-21	9:30:00
11004	Malpeque	Malpeque	Green Party of Canada	Le Parti Vert du Canada	Keenan	Anna		(902) 367-3910	20-Aug-21	11:00:00
11004	Malpeque	Malpeque	People's Party of Canada	Parti populaire du Canada	Landry	Christopher			30-Aug-21	4:00:00
11004	Malpeque	Malpeque	Liberal Party of Canada	Parti libéral du Canada	MacDonald	Heath		(902) 367-4670	24-Aug-21	7:30:00
11004	Malpeque	Malpeque	New Democratic Party	Nouveau Parti démocratique	Neill	Michelle		(902) 218-1590	27-Aug-21	5:30:00
11004	Malpeque	Malpeque	Conservative Party of Canada	Parti conservateur du Canada	Sanderson	Jody		(902) 330-5639	23-Aug-21	11:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	People's Party of Canada	Parti populaire du Canada	Grandy	Brad			31-Aug-21	12:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	Liberal Party of Canada	Parti libéral du Canada	Kelloway	Mike		(833) 849-0505	28-Aug-21	12:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	Conservative Party of Canada	Parti conservateur du Canada	MacLeod	Fiona		(902) 914-0244	28-Aug-21	1:30:00
12001	Cape Breton--Canso	Cape Breton--Canso	New Democratic Party	Nouveau Parti démocratique	Reddick	Jana			26-Aug-21	12:00:00
12002	Central Nova	Nova-Centre	Conservative Party of Canada	Parti conservateur du Canada	Cotter	Steven		(902) 928-8774	29-Aug-21	8:00:00
12002	Central Nova	Nova-Centre	Liberal Party of Canada	Parti libéral du Canada	Fraser	Sean		(902) 695-3505	28-Aug-21	1:00:00
12002	Central Nova	Nova-Centre	Communist Party of Canada	Parti communiste du Canada	Frazer	Chris			30-Aug-21	9:15:00
12002	Central Nova	Nova-Centre	Independent	Indépendant(e)	Henderson	Harvey			30-Aug-21	9:25:00
12002	Central Nova	Nova-Centre	New Democratic Party	Nouveau Parti démocratique	MacDonald	Betsy			25-Aug-21	1:00:00
12002	Central Nova	Nova-Centre	People's Party of Canada	Parti populaire du Canada	Muir	Al		(902) 616-4888	30-Aug-21	5:00:00
12002	Central Nova	Nova-Centre	Green Party of Canada	Le Parti Vert du Canada	Nikas	Katerina			30-Aug-21	11:30:00
12002	Central Nova	Nova-Centre	Parti Rhinocéros Party	Parti Rhinocéros Party	Smyth	Ryan			30-Aug-21	3:10:00
12003	Cumberland--Colchester	Cumberland--Colchester	People's Party of Canada	Parti populaire du Canada	Archer	Bill		(902) 664-1316	22-Aug-21	9:00:00
12003	Cumberland--Colchester	Cumberland--Colchester	Conservative Party of Canada	Parti conservateur du Canada	Ellis	Stephen		1 866 673-0346	20-Aug-21	9:00:00
12003	Cumberland--Colchester	Cumberland--Colchester	Green Party of Canada	Le Parti Vert du Canada	Foster	Jillian		(902) 664-4307	30-Aug-21	4:30:00
12003	Cumberland--Colchester	Cumberland--Colchester	Independent	Indépendant(e)	O'Blenis	Jody		(902) 694-3344	28-Aug-21	12:00:00
12003	Cumberland--Colchester	Cumberland--Colchester	New Democratic Party	Nouveau Parti démocratique	Osborne	Daniel		(902) 662-2018	29-Aug-21	5:30:00
12003	Cumberland--Colchester	Cumberland--Colchester	Liberal Party of Canada	Parti libéral du Canada	Zann	Lenore		1 888 388-4674	26-Aug-21	10:00:00
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Liberal Party of Canada	Parti libéral du Canada	Fisher	Darren		(902) 406-0409	24-Aug-21	11:00:00
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	People's Party of Canada	Parti populaire du Canada	Lindsay	Michelle			24-Aug-21	10:00:00
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	New Democratic Party	Nouveau Parti démocratique	Payne	Kevin		(902) 220-5446	27-Aug-21	7:00:00
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Green Party of Canada	Le Parti Vert du Canada	Zaman	Rana			29-Aug-21	5:30:00
12005	Halifax	Halifax	Communist Party of Canada	Parti communiste du Canada	Campbell	Katie			26-Aug-21	4:30:00
12005	Halifax	Halifax	Conservative Party of Canada	Parti conservateur du Canada	Ells	Cameron			30-Aug-21	2:30:00
12005	Halifax	Halifax	Liberal Party of Canada	Parti libéral du Canada	Fillmore	Andy		(902) 417-2286	30-Aug-21	7:00:00
12005	Halifax	Halifax	People's Party of Canada	Parti populaire du Canada	Hébert	B. Alexander		(902) 707-4361	30-Aug-21	5:30:00
12005	Halifax	Halifax	Green Party of Canada	Le Parti Vert du Canada	Roberts	Jo-Ann		(902) 809-9132	29-Aug-21	5:30:00
12005	Halifax	Halifax	New Democratic Party	Nouveau Parti démocratique	Roberts	Lisa		(902) 593-0921	24-Aug-21	11:30:00
12006	Halifax West	Halifax-Ouest	Liberal Party of Canada	Parti libéral du Canada	Diab	Lena Metlege		(902) 450-0708	23-Aug-21	2:30:00
12006	Halifax West	Halifax-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Humphries	Eleanor			26-Aug-21	8:30:00
12006	Halifax West	Halifax-Ouest	New Democratic Party	Nouveau Parti démocratique	Roberts	Jonathan Keith			24-Aug-21	8:30:00
12006	Halifax West	Halifax-Ouest	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Schulthies	Kevin			29-Aug-21	7:30:00
12006	Halifax West	Halifax-Ouest	People's Party of Canada	Parti populaire du Canada	Scott	Julie			26-Aug-21	7:30:00
12006	Halifax West	Halifax-Ouest	Green Party of Canada	Le Parti Vert du Canada	Zurawski	Richard			27-Aug-21	3:30:00
12007	Kings--Hants	Kings--Hants	Liberal Party of Canada	Parti libéral du Canada	Blois	Kody		(902) 915-5394	27-Aug-21	2:30:00
12007	Kings--Hants	Kings--Hants	People's Party of Canada	Parti populaire du Canada	Ford	Steven			28-Aug-21	2:00:00
12007	Kings--Hants	Kings--Hants	Conservative Party of Canada	Parti conservateur du Canada	Parent	Mark		(844) 287-5451	25-Aug-21	1:30:00
12007	Kings--Hants	Kings--Hants	Green Party of Canada	Le Parti Vert du Canada	Richardson	Sheila G.			31-Aug-21	6:30:00
12007	Kings--Hants	Kings--Hants	New Democratic Party	Nouveau Parti démocratique	Schneider	Stephen		(902) 680-8683	25-Aug-21	8:00:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	New Democratic Party	Nouveau Parti démocratique	Chisholm	Jenna		(902) 593-0845	22-Aug-21	5:30:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Conservative Party of Canada	Parti conservateur du Canada	Conrad	Angela		(902) 593-1083	21-Aug-21	5:30:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Green Party of Canada	Le Parti Vert du Canada	Edmonds	Anthony		(902) 293-1568	26-Aug-21	7:30:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	People's Party of Canada	Parti populaire du Canada	Gosse	Earl			28-Aug-21	7:00:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Liberal Party of Canada	Parti libéral du Canada	Samson	Darrell		(902) 401-0637	21-Aug-21	1:00:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	New Democratic Party	Nouveau Parti démocratique	Dorey	Olivia		(902) 644-7094	24-Aug-21	10:00:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Liberal Party of Canada	Parti libéral du Canada	Jordan	Bernadette		(902) 530-5252	28-Aug-21	3:00:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Conservative Party of Canada	Parti conservateur du Canada	Perkins	Rick		(902) 903-0301	23-Aug-21	6:00:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Green Party of Canada	Le Parti Vert du Canada	Trappenberg	Thomas			24-Aug-21	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	People's Party of Canada	Parti populaire du Canada	Barron	Ronald Angus			27-Aug-21	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	Liberal Party of Canada	Parti libéral du Canada	Battiste	Jaime			28-Aug-21	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Boisvert	Nikki		(613) 792-4475	30-Aug-21	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	Green Party of Canada	Le Parti Vert du Canada	Embrett	Mark		(902) 789-2534	31-Aug-21	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	Conservative Party of Canada	Parti conservateur du Canada	Orrell	Eddie			22-Aug-21	5:00:00
12010	Sydney--Victoria	Sydney--Victoria	New Democratic Party	Nouveau Parti démocratique	Ward	Jeff		(902) 270-5630	24-Aug-21	1:00:00
12011	West Nova	Nova-Ouest	New Democratic Party	Nouveau Parti démocratique	Burbidge	Cheryl		(902) 532-1200	28-Aug-21	9:30:00
12011	West Nova	Nova-Ouest	Liberal Party of Canada	Parti libéral du Canada	Chamberlain	Alxys		(902) 233-6540	28-Aug-21	4:47:00
12011	West Nova	Nova-Ouest	Conservative Party of Canada	Parti conservateur du Canada	d'Entremont	Chris		(902) 400-3712	21-Aug-21	12:00:00
12011	West Nova	Nova-Ouest	People's Party of Canada	Parti populaire du Canada	Spidle	Scott			28-Aug-21	10:38:00
13001	Acadie--Bathurst	Acadie--Bathurst	Liberal Party of Canada	Parti libéral du Canada	Cormier	Serge		(506) 395-8096	21-Aug-21	9:00:00
13001	Acadie--Bathurst	Acadie--Bathurst	Free Party Canada	Parti Libre Canada	Doiron	Richer		(506) 252-7474	30-Aug-21	6:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	New Democratic Party	Nouveau Parti démocratique	Hébert	Mélissa			30-Aug-21	7:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Green Party of Canada	Le Parti Vert du Canada	Johns	Rachel			30-Aug-21	5:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	People's Party of Canada	Parti populaire du Canada	Langford	Kenneth Edward			31-Aug-21	12:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Conservative Party of Canada	Parti conservateur du Canada	Lanteigne	Jean-Paul		(506) 726-3517	27-Aug-21	9:00:00
13002	Beauséjour	Beauséjour	Green Party of Canada	Le Parti Vert du Canada	Girouard	Stella Anna			29-Aug-21	9:30:00
13002	Beauséjour	Beauséjour	New Democratic Party	Nouveau Parti démocratique	Godfrey	Evelyne			26-Aug-21	9:00:00
13002	Beauséjour	Beauséjour	Liberal Party of Canada	Parti libéral du Canada	LeBlanc	Dominic		(506) 855-4970	20-Aug-21	3:30:00
13002	Beauséjour	Beauséjour	People's Party of Canada	Parti populaire du Canada	Minor	Jack			27-Aug-21	4:45:00
13002	Beauséjour	Beauséjour	Conservative Party of Canada	Parti conservateur du Canada	Mitchell	Shelly			24-Aug-21	3:30:00
13002	Beauséjour	Beauséjour	Free Party Canada	Parti Libre Canada	Sauriol Chiasson	Isabelle			31-Aug-21	3:30:00
13003	Fredericton	Fredericton	Liberal Party of Canada	Parti libéral du Canada	Atwin	Jenica		(506) 300-7710	27-Aug-21	6:00:00
13003	Fredericton	Fredericton	Conservative Party of Canada	Parti conservateur du Canada	Johnson	Andrea		(506) 300-2882	22-Aug-21	11:00:00
13003	Fredericton	Fredericton	Libertarian Party of Canada	Parti Libertarien du Canada	Kirby	Brandon			30-Aug-21	6:45:00
13003	Fredericton	Fredericton	Green Party of Canada	Le Parti Vert du Canada	O'Byrne	Nicole		(506) 230-5565	22-Aug-21	11:00:00
13003	Fredericton	Fredericton	New Democratic Party	Nouveau Parti démocratique	Oldenburg	Shawn			28-Aug-21	1:30:00
13003	Fredericton	Fredericton	Communist Party of Canada	Parti communiste du Canada	Patterson	June			30-Aug-21	6:57:00
13003	Fredericton	Fredericton	Independent	Indépendant(e)	Smith	Jen		(506) 282-2143	28-Aug-21	12:14:00
13004	Fundy Royal	Fundy Royal	Liberal Party of Canada	Parti libéral du Canada	Dykeman	Whitney		(506) 962-3997	24-Aug-21	9:00:00
13004	Fundy Royal	Fundy Royal	New Democratic Party	Nouveau Parti démocratique	Floyd	Josh		(506) 650-1253	23-Aug-21	9:00:00
13004	Fundy Royal	Fundy Royal	Conservative Party of Canada	Parti conservateur du Canada	Moore	Rob		(506) 435-1960	24-Aug-21	6:00:00
13004	Fundy Royal	Fundy Royal	Green Party of Canada	Le Parti Vert du Canada	Thompson	Tim		(506) 607-0789	30-Aug-21	5:30:00
13004	Fundy Royal	Fundy Royal	People's Party of Canada	Parti populaire du Canada	Wheeler	Wayne			29-Aug-21	6:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Liberal Party of Canada	Parti libéral du Canada	Arseneault	René		(506) 737-0590	24-Aug-21	2:00:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Conservative Party of Canada	Parti conservateur du Canada	Beaulieu	Shawn		(506) 235-2935	21-Aug-21	6:00:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Free Party Canada	Parti Libre Canada	Berube	Louis		(506) 737-3574	27-Aug-21	9:00:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Green Party of Canada	Le Parti Vert du Canada	Blaevoet	Rebecca		(506) 375-8537	30-Aug-21	6:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	New Democratic Party	Nouveau Parti démocratique	MacDonald	Elizabeth			30-Aug-21	4:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	People's Party of Canada	Parti populaire du Canada	Mercier	Nancy		(506) 533-4511	28-Aug-21	6:30:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Green Party of Canada	Le Parti Vert du Canada	Deitch	Patty		(506) 625-4257	27-Aug-21	7:30:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Liberal Party of Canada	Parti libéral du Canada	Harris	Lisa		(506) 623-5472	20-Aug-21	10:30:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	People's Party of Canada	Parti populaire du Canada	Nowlan	Ron		(506) 251-4939	25-Aug-21	9:00:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	New Democratic Party	Nouveau Parti démocratique	Potter	Bruce			30-Aug-21	10:30:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Conservative Party of Canada	Parti conservateur du Canada	Stewart	Jake		(506) 778-9191	24-Aug-21	8:00:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	People's Party of Canada	Parti populaire du Canada	Carrier	Lorilee			28-Aug-21	3:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Green Party of Canada	Le Parti Vert du Canada	Dunn	Richard		(506) 805-5621	25-Aug-21	9:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	New Democratic Party	Nouveau Parti démocratique	Landry	Serge		(506) 871-8496	26-Aug-21	2:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Liberal Party of Canada	Parti libéral du Canada	Petitpas Taylor	Ginette		(506) 688-5729	23-Aug-21	4:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Conservative Party of Canada	Parti conservateur du Canada	Smith	Darlene		(506) 382-7175	21-Aug-21	3:00:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Liberal Party of Canada	Parti libéral du Canada	Hickey	Jason			25-Aug-21	9:30:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Green Party of Canada	Le Parti Vert du Canada	Reist	John			28-Aug-21	9:30:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	People's Party of Canada	Parti populaire du Canada	Sarty	Meryl			30-Aug-21	6:30:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	New Democratic Party	Nouveau Parti démocratique	Warren	Richard Trevor			24-Aug-21	12:00:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Williamson	John		(506) 755-2050	19-Aug-21	10:30:00
13009	Saint John--Rothesay	Saint John--Rothesay	Liberal Party of Canada	Parti libéral du Canada	Long	Wayne		(506) 646-1991	24-Aug-21	3:30:00
13009	Saint John--Rothesay	Saint John--Rothesay	Green Party of Canada	Le Parti Vert du Canada	McAllister	Ann		(506) 847-4251	30-Aug-21	12:00:00
13009	Saint John--Rothesay	Saint John--Rothesay	Conservative Party of Canada	Parti conservateur du Canada	Norton	Mel		(506) 634-8683	16-Aug-21	9:30:00
13009	Saint John--Rothesay	Saint John--Rothesay	New Democratic Party	Nouveau Parti démocratique	Paulin	Don			26-Aug-21	11:00:00
13009	Saint John--Rothesay	Saint John--Rothesay	People's Party of Canada	Parti populaire du Canada	Pereira	Nicholas			26-Aug-21	12:00:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Conservative Party of Canada	Parti conservateur du Canada	Bragdon	Richard			19-Aug-21	8:30:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Independent	Indépendant(e)	LaForest	Steven J			29-Aug-21	8:30:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Green Party of Canada	Le Parti Vert du Canada	Martin	Anthony			30-Aug-21	2:00:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	New Democratic Party	Nouveau Parti démocratique	Miller	Meriet Gray			29-Aug-21	6:30:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Liberal Party of Canada	Parti libéral du Canada	Robinson	Cully		(506) 435-3647	26-Aug-21	10:00:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	People's Party of Canada	Parti populaire du Canada	Waggoner	Daniel Joseph			28-Aug-21	11:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Bloc Québécois	Bloc Québécois	Bérubé	Sylvie			23-Aug-21	12:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Free Party Canada	Parti Libre Canada	Brazeau	Cédric			29-Aug-21	10:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	People's Party of Canada	Parti populaire du Canada	Cloutier	Michaël			28-Aug-21	9:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Conservative Party of Canada	Parti conservateur du Canada	Corriveau	Steve		(819) 856-5091	28-Aug-21	12:30:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Liberal Party of Canada	Parti libéral du Canada	Kistabish	Lise			25-Aug-21	9:30:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	New Democratic Party	Nouveau Parti démocratique	Lameboy	Pauline			27-Aug-21	12:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Marijuana Party	Parti Marijuana	Levesque	Jimmy			30-Aug-21	3:00:00
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Green Party of Canada	Le Parti Vert du Canada	Pilon	Didier			29-Aug-21	5:30:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Green Party of Canada	Le Parti Vert du Canada	Chartrand	Martin			30-Aug-21	4:39:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Conservative Party of Canada	Parti conservateur du Canada	Gonzalez Venegas	Luis Henry		(819) 763-5895	24-Aug-21	5:23:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Free Party Canada	Parti Libre Canada	Goulet	Dany			29-Aug-21	8:00:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	People's Party of Canada	Parti populaire du Canada	Lacroix	Eric			26-Aug-21	12:26:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Liberal Party of Canada	Parti libéral du Canada	Legault-Lacasse	William			23-Aug-21	4:32:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Bloc Québécois	Bloc Québécois	Lemire	Sébastien			19-Aug-21	9:39:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Parti Rhinocéros Party	Parti Rhinocéros Party	Lirette	Joël			29-Aug-21	8:29:00
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	New Democratic Party	Nouveau Parti démocratique	Stewart	Bethany			27-Aug-21	6:30:00
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	New Democratic Party	Nouveau Parti démocratique	Chaabi	Ghada			28-Aug-21	9:00:00
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	People's Party of Canada	Parti populaire du Canada	Chevalier	Manon			28-Aug-21	7:30:00
